file_name,read_group_id,library_selection,library_strand
774e6f83-e7a5-4b86-b729-ab1f03e4d801.rna_seq.genomic.gdc_realn.bam,1ce9db45-926c-4a05-aefb-b6fbb098ae07,Other,N/A
774e6f83-e7a5-4b86-b729-ab1f03e4d801.rna_seq.genomic.gdc_realn.bam,1cd56e93-44aa-4f95-99d2-72c02bf605fe,Poly-T Enrichment,
b44ffeb2-2db5-41cc-9a6a-b83ce6ed5be3.rna_seq.genomic.gdc_realn.bam,954f070e-b552-4e2c-a295-db3e747beea7,Poly-T Enrichment,
b44ffeb2-2db5-41cc-9a6a-b83ce6ed5be3.rna_seq.genomic.gdc_realn.bam,1bd4fa12-59e0-409a-a86c-8c02c3e73dac,Other,N/A
8fdfcb64-991a-4bb3-bc68-7815818880b7.rna_seq.genomic.gdc_realn.bam,6d38f3d6-fdc5-45c8-a4f1-ca3bdc435494,Other,N/A
8fdfcb64-991a-4bb3-bc68-7815818880b7.rna_seq.genomic.gdc_realn.bam,abb3cf5e-c7f5-4cb1-85a1-9a51ba598921,Poly-T Enrichment,
5cec1812-c2a5-4f34-9bb0-f22b17c6e0b0.rna_seq.genomic.gdc_realn.bam,ac48eff8-466e-4e48-bb29-a0b44c5db74c,Poly-T Enrichment,
5cec1812-c2a5-4f34-9bb0-f22b17c6e0b0.rna_seq.genomic.gdc_realn.bam,94919a81-f56c-43ec-b0a2-c3707c3122bf,Other,N/A
a2f56843-c5a9-4043-9969-026731794bce.rna_seq.genomic.gdc_realn.bam,89012952-dc2b-42b4-94a0-8a7be0e43008,Poly-T Enrichment,
a2f56843-c5a9-4043-9969-026731794bce.rna_seq.genomic.gdc_realn.bam,6448e8e0-b9f7-4a43-9c9f-cb4d05d8ed8c,Other,N/A
